Mes;Precio interno;;;;;;;;;;;;;;;
abr-89;61.800;;;;;;;;;;;;;;;
may-89;61.800;;;;;;;;;;;;;;;
jun-89;63.914;;;;;;;;;;;;;;;
jul-89;64.683;;;;;;;;;;;;;;;
ago-89;64.683;;;;;;;;;;;;;;;
sep-89;64.683;;;;;;;;;;;;;;;
oct-89;65.851;;;;;;;;;;;;;;;
nov-89;67.700;;;;;;;;;;;;;;;
dic-89;67.700;;;;;;;;;;;;;;;
ene-90;67.700;;;;;;;;;;;;;;;
feb-90;67.700;;;;;;;;;;;;;;;
mar-90;71.726;;;;;;;;;;;;;;;
abr-90;75.500;;;;;;;;;;;;;;;
may-90;75.500;;;;;;;;;;;;;;;
jun-90;75.500;;;;;;;;;;;;;;;
jul-90;75.500;;;;;;;;;;;;;;;
ago-90;75.500;;;;;;;;;;;;;;;
sep-90;84.050;;;;;;;;;;;;;;;
oct-90;85.000;;;;;;;;;;;;;;;
nov-90;85.000;;;;;;;;;;;;;;;
dic-90;85.000;;;;;;;;;;;;;;;
ene-91;85.000;;;;;;;;;;;;;;;
feb-91;85.000;;;;;;;;;;;;;;;
mar-91;88.024;;;;;;;;;;;;;;;
abr-91;94.375;;;;;;;;;;;;;;;
may-91;94.375;;;;;;;;;;;;;;;
jun-91;94.375;;;;;;;;;;;;;;;
jul-91;94.375;;;;;;;;;;;;;;;
ago-91;94.375;;;;;;;;;;;;;;;
sep-91;94.375;;;;;;;;;;;;;;;
oct-91;98.911;;;;;;;;;;;;;;;
nov-91;100.000;;;;;;;;;;;;;;;
dic-91;100.000;;;;;;;;;;;;;;;
ene-92;100.000;;;;;;;;;;;;;;;
feb-92;96.897;;;;;;;;;;;;;;;
mar-92;95.000;;;;;;;;;;;;;;;
abr-92;95.000;;;;;;;;;;;;;;;
may-92;95.000;;;;;;;;;;;;;;;
jun-92;95.000;;;;;;;;;;;;;;;
jul-92;89.839;;;;;;;;;;;;;;;
ago-92;85.000;;;;;;;;;;;;;;;
sep-92;85.000;;;;;;;;;;;;;;;
oct-92;85.000;;;;;;;;;;;;;;;
nov-92;85.000;;;;;;;;;;;;;;;
dic-92;85.000;;;;;;;;;;;;;;;
ene-93;85.000;;;;;;;;;;;;;;;
feb-93;85.000;;;;;;;;;;;;;;;
mar-93;85.000;;;;;;;;;;;;;;;
abr-93;90.729;;;;;;;;;;;;;;;
may-93;91.875;;;;;;;;;;;;;;;
jun-93;91.875;;;;;;;;;;;;;;;
jul-93;91.875;;;;;;;;;;;;;;;
ago-93;93.992;;;;;;;;;;;;;;;
sep-93;105.000;;;;;;;;;;;;;;;
oct-93;105.000;;;;;;;;;;;;;;;
nov-93;105.000;;;;;;;;;;;;;;;
dic-93;105.000;;;;;;;;;;;;;;;
ene-94;105.000;;;;;;;;;;;;;;;
feb-94;118.393;;;;;;;;;;;;;;;
mar-94;120.000;;;;;;;;;;;;;;;
abr-94;120.000;;;;;;;;;;;;;;;
may-94;127.742;;;;;;;;;;;;;;;
